# class coastal green red blue red_edge1 red_edge2 red_edge3 swir1 swir2 NDVI LAI MNDWI
1 787.5 1308 1653 994.5 2290 2028 2119 3878 3038 0.161552 0.272641 -0.495565 
1 959 1601 2092 1163 2789 2493 2666 4595 3617 0.142799 0.261358 -0.483215 
1 738 1420 1816 1140 2534 2258 2396 4191 3045 0.165057 0.318446 -0.493851 
1 467 778.5 1206 535.5 1707 1533 1648 3166 2930.5 0.171988 0.185585 -0.605273 
1 470 949 1332 753 2252 1897 2046 3747 2937 0.256696 0.452096 -0.595826 
1 591.5 909.5 1348 636.5 1746 1718 1846 3501.5 2816.5 0.128636 0.121034 -0.587622 
1 577 920.5 1278 692.5 1936 1692 1837.5 3471 2966 0.204729 0.295012 -0.580781 
1 594.5 1128 1592 786.5 2199 2028.5 2174 4285.5 3774 0.160116 0.228343 -0.583264 
1 739.5 1392 1947 1047 2582 2263 2436.5 3978 3209 0.140208 0.231973 -0.481564 
1 544 1188 1868 766 2430 2174 2313 4341 3857 0.130758 0.166094 -0.570266 
1 372 1037 1676 649 2188 1957.5 2075 3855.5 3469 0.132505 0.148512 -0.576086 
1 995 1506 2018 1104 2654 2421 2557 4579 4148 0.13613 0.231024 -0.505012 
1 624.5 1098 1465 817 1911 1778 1902.5 3488 2733 0.132109 0.158809 -0.521151 
1 859 1377 1851 1027 2491 2240 2388.5 4124 3913 0.147398 0.246201 -0.499364 
1 725.5 1511 2240 1041 2921 2655.5 2833.5 4646 4058 0.131951 0.213994 -0.509176 
1 736.5 1447 1977 1033.5 2725 2431 2576 3979.5 3039.5 0.159081 0.283863 -0.466691 
1 1968 2462 2846 2138 3624 2983 3070 4493 3607 0.120247 0.361851 -0.29202 
1 644.5 1193 1556 952.5 2326 1938.5 2106.5 4240.5 3338 0.198351 0.361717 -0.560872 
1 1019 1516 1870 1238 2310 2167 2270 4147 3367 0.105263 0.161382 -0.464595 
1 593 1023 1212 791 2020 1850 1966 3099 2355 0.25 0.429053 -0.503639 
1 470.5 827 1159.5 606.5 1582 1440.5 1580 3211.5 2462.5 0.154113 0.155155 -0.590442 
1 520 1070 1538 735 2292 1956 2151 4166 3217 0.196867 0.308046 -0.591291 
1 1108.5 1034 1478 844 1832 1963.5 2168.5 3654 3148 0.106949 0.10482 -0.558874 
1 556.5 1107 1562 843.5 2213 1913 2062.5 3901 3112.5 0.17245 0.267896 -0.557907 
1 758 1412 1954 1054 2700 2504 2650 4138 3303 0.160292 0.290473 -0.491171 
1 621 1108 1396 866 2204 1946 2079 3976 3276 0.224444 0.400875 -0.564123 
1 603 1206 1520 838 2504 2242 2390 4014 3394 0.244533 0.462239 -0.537931 
1 1666 2042 2392 2002 3052 2551 2674 3998 3071 0.121234 0.363855 -0.323841 
1 981 1904 2082 1844 2920 2393 2463 3697 2766 0.167533 0.536439 -0.320121 
1 617 1102 1374 830 2134 1887 2008 3677.5 3296 0.216648 0.367706 -0.538864 
1 475.5 930 1263 686.5 1770 1613.5 1721.5 3782 3191.5 0.167161 0.204962 -0.605263 
1 675 1149 1607 886.5 2135 1941 2077 3930 3408 0.141101 0.197685 -0.547549 
1 1084.5 1155.5 1991 585 2380 2786.5 2866.5 4476 3824 0.088996 0.058468 -0.58963 
1 785 1494 1848 1098 2412 2209 2360 3799 2868 0.132394 0.216188 -0.435481 
1 874.5 1398 1905 1076 2625 2290 2468.5 4635 3882.5 0.15894 0.289407 -0.536549 
1 790 1668 2102 1252 2934 2455 2624 4633 4087 0.16521 0.347798 -0.47056 
1 605 1056 1532 757 1998 1781 1891 3737 2644 0.132011 0.153714 -0.559357 
1 1081 1890 2612 1404 3222 3149 3340 5138 3799 0.104559 0.182449 -0.462151 
1 843 1452 1978 1067 2538 2277.5 2441.5 4262 3490.5 0.124004 0.190788 -0.491775 
1 712 1428 1880 1003 2426 2219 2294 4197 3293 0.1268 0.187161 -0.492267 
1 771 1622 2222 1198 2834 2593 2750 4651 3780 0.121044 0.20419 -0.482863 
1 573 891 1260 692.5 1826 1701 1854 3582 2980.5 0.183409 0.242723 -0.60161 
1 831.5 1369 1798 1043 2465 2210 2361 4433.5 3290.5 0.156463 0.27298 -0.528134 
